date,home_team,away_team,home_goals,away_goals,stage
2026-06-11,México,Sudáfrica,2,0,group
2026-06-11,Corea del Sur,Rep. Checa,2,1,group
2026-06-12,Canadá,Bosnia y Her.,1,1,group
2026-06-12,Suiza,Catar,1,1,group
2026-06-12,Brasil,Marruecos,1,1,group
2026-06-12,Escocia,Haití,1,0,group
2026-06-13,EEUU,Paraguay,4,1,group
2026-06-13,Australia,Turquía,2,0,group
2026-06-13,Alemania,Curazao,7,1,group
2026-06-13,Costa de Marfil,Ecuador,1,0,group
2026-06-14,Países Bajos,Japón,2,2,group
2026-06-14,Suecia,Túnez,5,1,group
2026-06-14,Bélgica,Egipto,1,1,group
2026-06-14,Irán,Nueva Zelanda,2,2,group
2026-06-15,España,Cabo Verde,0,0,group
2026-06-15,Arabia S.,Uruguay,1,1,group
2026-06-15,Francia,Senegal,3,1,group
2026-06-15,Noruega,Irak,4,1,group
2026-06-16,Argentina,Argelia,3,0,group
2026-06-16,Austria,Jordania,3,1,group
2026-06-16,Portugal,RD Congo,1,1,group
2026-06-16,Colombia,Uzbekistán,3,1,group
2026-06-17,Inglaterra,Croacia,4,2,group
2026-06-17,Ghana,Panamá,1,0,group
2026-06-18,Rep. Checa,Sudáfrica,1,1,group
2026-06-18,Suiza,Bosnia y Her.,4,1,group
2026-06-18,Canadá,Catar,6,0,group
2026-06-18,México,Corea del Sur,1,0,group
2026-06-19,EEUU,Australia,2,0,group
2026-06-19,Escocia,Marruecos,0,1,group
2026-06-19,Brasil,Haití,3,0,group
2026-06-19,Turquía,Paraguay,0,1,group
2026-06-20,Países Bajos,Suecia,5,1,group
2026-06-20,Alemania,Costa de Marfil,2,1,group
2026-06-20,Ecuador,Curazao,0,0,group
2026-06-21,Túnez,Japón,0,4,group
